Packet 0 	 Time(ns) 108.968720
Packet 1 	 Time(ns) 99.062473
Packet 2 	 Time(ns) 69.343731
Packet 3 	 Time(ns) 19.812495
Packet 4 	 Time(ns) 9.906247
Packet 5 	 Time(ns) 69.343731
Packet 6 	 Time(ns) 69.343731
Packet 7 	 Time(ns) 69.343731
Packet 8 	 Time(ns) 39.624989
Packet 9 	 Time(ns) 69.343731
Packet 10 	 Time(ns) 19.812495
Packet 11 	 Time(ns) 128.781215
Packet 12 	 Time(ns) 39.624989
Packet 13 	 Time(ns) 89.156225
Packet 14 	 Time(ns) 148.593709
Packet 15 	 Time(ns) 89.156225
Packet 16 	 Time(ns) 19.812495
Packet 17 	 Time(ns) 108.968720
Packet 18 	 Time(ns) 19.812495
Packet 19 	 Time(ns) 9.906247
Packet 20 	 Time(ns) 79.249978
Packet 21 	 Time(ns) 89.156225
Packet 22 	 Time(ns) 9.906247
Packet 23 	 Time(ns) 39.624989
Packet 24 	 Time(ns) 49.531236
Packet 25 	 Time(ns) 138.687462
Packet 26 	 Time(ns) 39.624989
Packet 27 	 Time(ns) 69.343731
Packet 28 	 Time(ns) 128.781215
Packet 29 	 Time(ns) 89.156225
Packet 30 	 Time(ns) 79.249978
Packet 31 	 Time(ns) 19.812495
Packet 32 	 Time(ns) 39.624989
Packet 33 	 Time(ns) 89.156225
Packet 34 	 Time(ns) 9.906247
Packet 35 	 Time(ns) 79.249978
Packet 36 	 Time(ns) 118.874967
Packet 37 	 Time(ns) 19.812495
Packet 38 	 Time(ns) 99.062473
Packet 39 	 Time(ns) 108.968720
Packet 40 	 Time(ns) 59.437484
Packet 41 	 Time(ns) 89.156225
Packet 42 	 Time(ns) 29.718742
Packet 43 	 Time(ns) 89.156225
Packet 44 	 Time(ns) 69.343731
Packet 45 	 Time(ns) 89.156225
Packet 46 	 Time(ns) 49.531236
Packet 47 	 Time(ns) 99.062473
Packet 48 	 Time(ns) 99.062473
Packet 49 	 Time(ns) 19.812495
Packet 50 	 Time(ns) 19.812495
Packet 51 	 Time(ns) 69.343731
Packet 52 	 Time(ns) 9.906247
Packet 53 	 Time(ns) 257.562429
Packet 54 	 Time(ns) 69.343731
Packet 55 	 Time(ns) 9.906247
Packet 56 	 Time(ns) 19.812495
Packet 57 	 Time(ns) 168.406204
Packet 58 	 Time(ns) 99.062473
Packet 59 	 Time(ns) 9.906247
Packet 60 	 Time(ns) 108.968720
Packet 61 	 Time(ns) 128.781215
Packet 62 	 Time(ns) 89.156225
Packet 63 	 Time(ns) 99.062473
Packet 64 	 Time(ns) 19.812495
Packet 65 	 Time(ns) 69.343731
Packet 66 	 Time(ns) 79.249978
Packet 67 	 Time(ns) 79.249978
Packet 68 	 Time(ns) 79.249978
Packet 69 	 Time(ns) 108.968720
Packet 70 	 Time(ns) 19.812495
Packet 71 	 Time(ns) 19.812495
Packet 72 	 Time(ns) 99.062473
Packet 73 	 Time(ns) 39.624989
Packet 74 	 Time(ns) 89.156225
Packet 75 	 Time(ns) 49.531236
Packet 76 	 Time(ns) 19.812495
Packet 77 	 Time(ns) 79.249978
Packet 78 	 Time(ns) 89.156225
Packet 79 	 Time(ns) 19.812495
Packet 80 	 Time(ns) 69.343731
Packet 81 	 Time(ns) 158.499956
Packet 82 	 Time(ns) 19.812495
Packet 83 	 Time(ns) 29.718742
Packet 84 	 Time(ns) 118.874967
Packet 85 	 Time(ns) 79.249978
Packet 86 	 Time(ns) 99.062473
Packet 87 	 Time(ns) 19.812495
Packet 88 	 Time(ns) 168.406204
Packet 89 	 Time(ns) 69.343731
Packet 90 	 Time(ns) 9.906247
Packet 91 	 Time(ns) 19.812495
Packet 92 	 Time(ns) 99.062473
Packet 93 	 Time(ns) 59.437484
Packet 94 	 Time(ns) 99.062473
Packet 95 	 Time(ns) 29.718742
Packet 96 	 Time(ns) 19.812495
Packet 97 	 Time(ns) 148.593709
Packet 98 	 Time(ns) 69.343731
Packet 99 	 Time(ns) 29.718742
Packet 100 	 Time(ns) 158.499956
Packet 101 	 Time(ns) 9.906247
Packet 102 	 Time(ns) 29.718742
Packet 103 	 Time(ns) 69.343731
Packet 104 	 Time(ns) 19.812495
Packet 105 	 Time(ns) 9.906247
Packet 106 	 Time(ns) 49.531236
Packet 107 	 Time(ns) 19.812495
Packet 108 	 Time(ns) 19.812495
Packet 109 	 Time(ns) 118.874967
Packet 110 	 Time(ns) 9.906247
Packet 111 	 Time(ns) 29.718742
Packet 112 	 Time(ns) 138.687462
Packet 113 	 Time(ns) 29.718742
Packet 114 	 Time(ns) 19.812495
Packet 115 	 Time(ns) 99.062473
Packet 116 	 Time(ns) 49.531236
Packet 117 	 Time(ns) 108.968720
Packet 118 	 Time(ns) 59.437484
Packet 119 	 Time(ns) 19.812495
Packet 120 	 Time(ns) 128.781215
Packet 121 	 Time(ns) 108.968720
Packet 122 	 Time(ns) 79.249978
Packet 123 	 Time(ns) 19.812495
Packet 124 	 Time(ns) 79.249978
Packet 125 	 Time(ns) 49.531236
Packet 126 	 Time(ns) 39.624989
Packet 127 	 Time(ns) 99.062473
Packet 128 	 Time(ns) 69.343731
Packet 129 	 Time(ns) 128.781215
Packet 130 	 Time(ns) 99.062473
Packet 131 	 Time(ns) 89.156225
Packet 132 	 Time(ns) 69.343731
Packet 133 	 Time(ns) 19.812495
Packet 134 	 Time(ns) 19.812495
Packet 135 	 Time(ns) 128.781215
Packet 136 	 Time(ns) 19.812495
Packet 137 	 Time(ns) 237.749935
Packet 138 	 Time(ns) 99.062473
Packet 139 	 Time(ns) 108.968720
Packet 140 	 Time(ns) 49.531236
Packet 141 	 Time(ns) 59.437484
Packet 142 	 Time(ns) 89.156225
Packet 143 	 Time(ns) 99.062473
Packet 144 	 Time(ns) 49.531236
Packet 145 	 Time(ns) 99.062473
Packet 146 	 Time(ns) 99.062473
Packet 147 	 Time(ns) 138.687462
Packet 148 	 Time(ns) 9.906247
Packet 149 	 Time(ns) 19.812495
Packet 150 	 Time(ns) 118.874967
Packet 151 	 Time(ns) 59.437484
Packet 152 	 Time(ns) 9.906247
Packet 153 	 Time(ns) 118.874967
Packet 154 	 Time(ns) 49.531236
Packet 155 	 Time(ns) 99.062473
Packet 156 	 Time(ns) 69.343731
Packet 157 	 Time(ns) 108.968720
Packet 158 	 Time(ns) 128.781215
Packet 159 	 Time(ns) 79.249978
Packet 160 	 Time(ns) 9.906247
Packet 161 	 Time(ns) 99.062473
Packet 162 	 Time(ns) 19.812495
Packet 163 	 Time(ns) 89.156225
Packet 164 	 Time(ns) 79.249978
Packet 165 	 Time(ns) 49.531236
Packet 166 	 Time(ns) 118.874967
Packet 167 	 Time(ns) 128.781215
Packet 168 	 Time(ns) 19.812495
Packet 169 	 Time(ns) 59.437484
Packet 170 	 Time(ns) 19.812495
Packet 171 	 Time(ns) 79.249978
Packet 172 	 Time(ns) 49.531236
Packet 173 	 Time(ns) 69.343731
Packet 174 	 Time(ns) 19.812495
Packet 175 	 Time(ns) 69.343731
Packet 176 	 Time(ns) 9.906247
Packet 177 	 Time(ns) 89.156225
Packet 178 	 Time(ns) 89.156225
Packet 179 	 Time(ns) 9.906247
Packet 180 	 Time(ns) 178.312451
Packet 181 	 Time(ns) 59.437484
Packet 182 	 Time(ns) 118.874967
Packet 183 	 Time(ns) 99.062473
Packet 184 	 Time(ns) 59.437484
Packet 185 	 Time(ns) 69.343731
